"id","slug","name","area","nearest","signature","tags","mood","feature","confirmationStatus","businessHours","regularHoliday","sourceUrl","mapUrl","lat","lng","imageUrl","imageAlt","imageCredit","imageSourceUrl","imageSourceType","imageAcquireStatus","imageUsagePlan","imageWanted"
"11","kinozen-kagurazaka","紀の善 神楽坂","神楽坂","飯田橋駅、神楽坂駅","抹茶ババロア、あんみつ","老舗,復活店,神楽坂,抹茶","神楽坂散策と合わせたい、話題性のある甘味処","復活の話題性が強い候補。","記事確認済み","要確認","要確認","https://en.kaguramura.jp/report/kinozen/","https://www.google.com/maps/search/?api=1&query=%E7%B4%80%E3%81%AE%E5%96%84%20%E7%A5%9E%E6%A5%BD%E5%9D%82%20%E7%A5%9E%E6%A5%BD%E5%9D%82","35.701","139.741","","紀の善神楽坂の店舗外観、抹茶ババロアの写真","画像準備中","https://en.kaguramura.jp/report/kinozen/","自前撮影推奨","撮影待ち","店外観、看板、注文品を自前撮影して public/images/shops に保存","神楽坂の店舗外観、抹茶ババロア"
"12","hatsune-ningyocho","甘味処 初音","人形町・水天宮","水天宮前駅、人形町駅","あんみつ、みつまめ、お雑煮","老舗,あんみつ,食事あり,日本橋","人形町散策と合わせやすい、江戸から続く老舗甘味処","甘味と軽食の両方で使える。","第三者確認済み","要確認","要確認","https://tabelog.com/tokyo/A1302/A130204/13003045/","https://www.google.com/maps/search/?api=1&query=%E7%94%98%E5%91%B3%E5%87%A6%20%E5%88%9D%E9%9F%B3%20%E4%BA%BA%E5%BD%A2%E7%94%BA%E3%83%BB%E6%B0%B4%E5%A4%A9%E5%AE%AE","35.684","139.785","","甘味処初音の人形町の店舗外観、あんみつの写真","画像準備中","https://tabelog.com/tokyo/A1302/A130204/13003045/","自前撮影推奨","撮影待ち","店外観、看板、注文品を自前撮影して public/images/shops に保存","人形町の店舗外観、あんみつ"
"13","amanoya-kandamyojin","天野屋","神田明神","御茶ノ水駅、末広町駅","甘酒、くず餅、氷甘酒","老舗,甘酒,神田,レトロ","神田明神参拝と合わせやすい、江戸情緒のある甘酒茶屋","糀甘酒と甘味で差別化できる。","公式確認済み","要確認","要確認","https://www.amanoya.jp/","https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E9%87%8E%E5%B1%8B%20%E7%A5%9E%E7%94%B0%E6%98%8E%E7%A5%9E","35.702","139.768","","天野屋の甘酒、神田明神前の外観の写真","画像準備中","https://www.amanoya.jp/","公式画像候補","許諾確認待ち","公式サイトまたは公式店舗ページの画像を候補元にし、掲載許諾が取れたらローカル保存して使用","甘酒、神田明神前の外観"
"14","tsuruse-yushima","つる瀬 本店","湯島","湯島駅","豆大福、あんみつ、和菓子","老舗,和菓子,湯島,一人向き","湯島で和菓子と甘味を楽しめる、昔ながらの候補","和菓子店併設の甘味利用として紹介しやすい。","公式確認済み","店頭 9:30〜19:00、日祝18:00まで / 喫茶 11:00〜18:00","月曜日、祝日の場合は火曜日振替","https://tsuruse.jp/","https://www.google.com/maps/search/?api=1&query=%E3%81%A4%E3%82%8B%E7%80%AC%20%E6%9C%AC%E5%BA%97%20%E6%B9%AF%E5%B3%B6","35.707","139.769","","つる瀬本店の豆大福、喫茶、店舗外観の写真","画像準備中","https://tsuruse.jp/","公式画像候補","許諾確認待ち","公式サイトまたは公式店舗ページの画像を候補元にし、掲載許諾が取れたらローカル保存して使用","豆大福、喫茶、店舗外観"
"15","kosoan-jiyugaoka","古桑庵","自由が丘","自由が丘駅","抹茶白玉ぜんざい、あんみつ","古民家,抹茶,自由が丘,落ち着き","日本庭園を眺めながら和スイーツを楽しめる古民家茶房","自由が丘の散策導線に合う、雰囲気重視の甘味候補。","公式確認済み","要確認","要確認","https://kosoan.co.jp/","https://www.google.com/maps/search/?api=1&query=%E5%8F%A4%E6%A1%91%E5%BA%B5%20%E8%87%AA%E7%94%B1%E3%81%8C%E4%B8%98","35.609","139.671","","古桑庵の古民家外観、庭、抹茶白玉ぜんざいの写真","画像準備中","https://kosoan.co.jp/","公式画像候補","許諾確認待ち","公式サイトまたは公式店舗ページの画像を候補元にし、掲載許諾が取れたらローカル保存して使用","古民家外観、庭、抹茶白玉ぜんざい"
"16","saryo-tsujiri-daimaru-tokyo","茶寮都路里 大丸東京店","東京駅","東京駅","抹茶パフェ、抹茶スイーツ","抹茶,駅近,東京駅,パフェ","東京駅直結で使いやすい、京都発の抹茶甘味処","旅行者や買い物客向けの駅近抹茶パフェ枠。","施設公式確認済み","大丸東京店の営業時間に準ずる","施設に準ずる","https://www.giontsujiri.co.jp/store/tokyo-daimaru/","https://www.google.com/maps/search/?api=1&query=%E8%8C%B6%E5%AF%AE%E9%83%BD%E8%B7%AF%E9%87%8C%20%E5%A4%A7%E4%B8%B8%E6%9D%B1%E4%BA%AC%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%A7%85","35.681","139.767","","茶寮都路里 大丸東京店の雰囲気がわかる写真。候補: 抹茶パフェ、店内、店舗入口","画像準備中","https://www.daimaru.co.jp/tokyo/restaurant/10f_cafe_tsujiri.html","施設公式画像候補","許諾確認待ち","商業施設の店舗ページ画像を候補元にし、施設側の利用条件を確認してから使用","抹茶パフェ、店内、店舗入口"
"17","saryo-suisen-shinjuku","茶寮翠泉 新宿店","新宿","新宿駅","抹茶パフェ、わらび餅","抹茶,新宿,パフェ,駅近","新宿で本格抹茶スイーツを探す人向け","京都発・宇治抹茶の甘味処。","公式確認済み","11:00〜20:00、L.O.19:30","なし、施設に準ずる","https://saryo-suisen.com/shop/shinjuku/","https://www.google.com/maps/search/?api=1&query=%E8%8C%B6%E5%AF%AE%E7%BF%A0%E6%B3%89%20%E6%96%B0%E5%AE%BF%E5%BA%97%20%E6%96%B0%E5%AE%BF","35.69","139.7","","茶寮翠泉 新宿店の雰囲気がわかる写真。候補: 抹茶パフェ、わらび餅、店内","画像準備中","https://saryo-suisen.com/shop/shinjuku/","公式画像候補","許諾確認待ち","公式サイトまたは公式店舗ページの画像を候補元にし、掲載許諾が取れたらローカル保存して使用","抹茶パフェ、わらび餅、店内"
"18","saryo-suisen-shibuya-parco","茶寮翠泉 渋谷パルコ店","渋谷","渋谷駅","抹茶パフェ、抹茶スイーツ","抹茶,渋谷,パフェ,商業施設","渋谷PARCO内で立ち寄りやすい抹茶スイーツ店","若年層・観光客にも見つけてもらいやすい。","公式確認済み","11:30〜22:00、L.O.21:15","なし、施設に準ずる","https://saryo-suisen.com/shop/shibuya/","https://www.google.com/maps/search/?api=1&query=%E8%8C%B6%E5%AF%AE%E7%BF%A0%E6%B3%89%20%E6%B8%8B%E8%B0%B7%E3%83%91%E3%83%AB%E3%82%B3%E5%BA%97%20%E6%B8%8B%E8%B0%B7","35.662","139.699","","茶寮翠泉 渋谷パルコ店の雰囲気がわかる写真。候補: 渋谷店の店内、抹茶スイーツ","画像準備中","https://saryo-suisen.com/shop/shibuya/","公式画像候補","許諾確認待ち","公式サイトまたは公式店舗ページの画像を候補元にし、掲載許諾が取れたらローカル保存して使用","渋谷店の店内、抹茶スイーツ"
"19","saryo-suisen-tobu-ikebukuro","茶寮翠泉 東武池袋店","池袋","池袋駅","抹茶パフェ、抹茶ラテ","抹茶,池袋,駅近,商業施設","池袋駅直結で使いやすい抹茶甘味候補","東武百貨店内でアクセスのよい抹茶スイーツ枠。","公式確認済み","11:00〜22:00、L.O.21:30","なし、施設に準ずる","https://saryo-suisen.com/shop/ikebukuro/","https://www.google.com/maps/search/?api=1&query=%E8%8C%B6%E5%AF%AE%E7%BF%A0%E6%B3%89%20%E6%9D%B1%E6%AD%A6%E6%B1%A0%E8%A2%8B%E5%BA%97%20%E6%B1%A0%E8%A2%8B","35.73","139.711","","茶寮翠泉 東武池袋店の雰囲気がわかる写真。候補: 池袋東武店の店内、抹茶パフェ","画像準備中","https://saryo-suisen.com/shop/ikebukuro/","公式画像候補","許諾確認待ち","公式サイトまたは公式店舗ページの画像を候補元にし、掲載許諾が取れたらローカル保存して使用","池袋東武店の店内、抹茶パフェ"
"20","kuriya-otona-kurogi","廚 otona くろぎ","上野・御徒町","御徒町駅、上野広小路駅","和パフェ、かき氷、和菓子","高級,かき氷,上野,和カフェ","上野松坂屋エリアで上質な和スイーツを楽しめる","日本料理の感性を取り入れた大人向け和カフェ枠。","施設公式確認済み","10:00〜21:00、L.O.閉店1時間前","施設に準ずる","https://parcoya-ueno.parco.jp/shop/detail/?cd=028286","https://www.google.com/maps/search/?api=1&query=%E5%BB%9A%20otona%20%E3%81%8F%E3%82%8D%E3%81%8E%20%E4%B8%8A%E9%87%8E%E3%83%BB%E5%BE%A1%E5%BE%92%E7%94%BA","35.707","139.774","","廚 otona くろぎの雰囲気がわかる写真。候補: 和パフェ、かき氷、店舗空間","画像準備中","https://parcoya-ueno.parco.jp/shop/detail/?cd=028286","施設公式画像候補","許諾確認待ち","商業施設の店舗ページ画像を候補元にし、施設側の利用条件を確認してから使用","和パフェ、かき氷、店舗空間"
"21","hayashiya-shinbee-hibiya","林屋新兵衛 日比谷店","日比谷","日比谷駅、有楽町駅","抹茶パフェ、抹茶スイーツ","抹茶,日比谷,高級,商業施設","日比谷で大人向けの抹茶甘味を楽しめる","茶舗系の抹茶スイーツとして、都心の上質枠。","公式確認済み","11:00〜22:00、L.O.21:00","施設に準ずる","https://kyo-hayashiya.jp/shoplist/hibiya/","https://www.google.com/maps/search/?api=1&query=%E6%9E%97%E5%B1%8B%E6%96%B0%E5%85%B5%E8%A1%9B%20%E6%97%A5%E6%AF%94%E8%B0%B7%E5%BA%97%20%E6%97%A5%E6%AF%94%E8%B0%B7","35.6738","139.7594","","林屋新兵衛 日比谷店の雰囲気がわかる写真。候補: 抹茶パフェ、店舗空間","画像準備中","https://kyo-hayashiya.jp/shoplist/hibiya/","公式画像候補","許諾確認待ち","公式サイトまたは公式店舗ページの画像を候補元にし、掲載許諾が取れたらローカル保存して使用","抹茶パフェ、店舗空間"
"22","fujii-meien-shibuya","京都宇治 藤井茗縁","渋谷","渋谷駅","抹茶パフェ、日本茶、和食","抹茶,渋谷,駅近,食事あり","渋谷フクラスで日本茶と甘味を楽しめる","食事と甘味の両方を扱える。","公式確認済み","11:00〜22:00","施設に準ずる","https://www.dd-holdings.jp/shops/fujii_meien/shibuya","https://www.google.com/maps/search/?api=1&query=%E4%BA%AC%E9%83%BD%E5%AE%87%E6%B2%BB%20%E8%97%A4%E4%BA%95%E8%8C%97%E7%B8%81%20%E6%B8%8B%E8%B0%B7","35.6576","139.7001","","京都宇治 藤井茗縁の雰囲気がわかる写真。候補: 日本茶、抹茶パフェ、渋谷フクラス店内","画像準備中","https://www.dd-holdings.jp/shops/fujii_meien/shibuya","公式画像候補","許諾確認待ち","公式サイトまたは公式店舗ページの画像を候補元にし、掲載許諾が取れたらローカル保存して使用","日本茶、抹茶パフェ、渋谷フクラス店内"
"23","nanas-green-tea-laqua","nana's green tea 東京ドームシティラクーア店","後楽園","後楽園駅、水道橋駅","抹茶パフェ、日本茶ラテ","抹茶,パフェ,商業施設,後楽園","東京ドームシティ利用時に寄りやすい和カフェ","抹茶・日本茶を中心にしたチェーン。","公式確認済み","要確認","施設に準ずる","https://www.nanasgreentea.com/blogs/tokyo/tokyodome-laqua","https://www.google.com/maps/search/?api=1&query=nana%27s%20green%20tea%20%E6%9D%B1%E4%BA%AC%E3%83%89%E3%83%BC%E3%83%A0%E3%82%B7%E3%83%86%E3%82%A3%E3%83%A9%E3%82%AF%E3%83%BC%E3%82%A2%E5%BA%97%20%E5%BE%8C%E6%A5%BD%E5%9C%92","35.7052","139.7523","","nana's green tea 東京ドームシティラクーア店の雰囲気がわかる写真。候補: 抹茶パフェ、店舗入口","画像準備中","https://www.nanasgreentea.com/blogs/tokyo/tokyodome-laqua","公式画像候補","許諾確認待ち","公式サイトまたは公式店舗ページの画像を候補元にし、掲載許諾が取れたらローカル保存して使用","抹茶パフェ、店舗入口"
"24","nanas-green-tea-solamachi","nana's green tea 東京スカイツリータウン・ソラマチ店","押上","押上駅、とうきょうスカイツリー駅","抹茶パフェ、和スイーツ","抹茶,観光向き,商業施設,押上","スカイツリー観光と相性がよい抹茶カフェ","観光導線の強い押上エリア。","第三者確認済み","11:00〜23:00、要再確認","施設に準ずる","https://www.nanasgreentea.com/","https://www.google.com/maps/search/?api=1&query=nana%27s%20green%20tea%20%E6%9D%B1%E4%BA%AC%E3%82%B9%E3%82%AB%E3%82%A4%E3%83%84%E3%83%AA%E3%83%BC%E3%82%BF%E3%82%A6%E3%83%B3%E3%83%BB%E3%82%BD%E3%83%A9%E3%83%9E%E3%83%81%E5%BA%97%20%E6%8A%BC%E4%B8%8A","35.7101","139.8107","","nana's green tea 東京スカイツリータウン・ソラマチ店の雰囲気がわかる写真。候補: 抹茶パフェ、ソラマチ店舗入口","画像準備中","https://www.tokyo-solamachi.jp/shop/","施設公式画像候補","許諾確認待ち","商業施設の店舗ページ画像を候補元にし、施設側の利用条件を確認してから使用","抹茶パフェ、ソラマチ店舗入口"
"25","nanas-green-tea-ueno-marui","nana's green tea 上野マルイ店","上野","上野駅","抹茶パフェ、抹茶ラテ","抹茶,駅近,上野,商業施設","上野駅前で気軽に寄れる抹茶カフェ","閉店済みのため掲載除外候補。","閉店確認済み","閉店済み","閉店済み","https://www.nanasgreentea.com/blogs/tokyo/marui-ueno","https://www.google.com/maps/search/?api=1&query=nana%27s%20green%20tea%20%E4%B8%8A%E9%87%8E%E3%83%9E%E3%83%AB%E3%82%A4%E5%BA%97%20%E4%B8%8A%E9%87%8E","35.712","139.776","","nana's green tea 上野マルイ店の雰囲気がわかる写真。候補: 閉店済みのため画像取得対象外","画像準備中","https://www.nanasgreentea.com/blogs/tokyo/marui-ueno","プレースホルダー","画像未取得","権利確認または撮影が終わるまでプレースホルダーを表示","閉店済みのため画像取得対象外"
"26","nanas-green-tea-lumine-est-shinjuku","nana's green tea ルミネエスト新宿店","新宿","新宿駅","抹茶パフェ、日本茶ラテ","抹茶,駅近,新宿,商業施設","新宿駅直結で使いやすい和カフェ","若年層・買い物客向けの抹茶スイーツ候補。","公式確認済み","11:00〜22:00","施設に準ずる","https://www.nanasgreentea.com/blogs/tokyo/lumine-est-shinjuku","https://www.google.com/maps/search/?api=1&query=nana%27s%20green%20tea%20%E3%83%AB%E3%83%9F%E3%83%8D%E3%82%A8%E3%82%B9%E3%83%88%E6%96%B0%E5%AE%BF%E5%BA%97%20%E6%96%B0%E5%AE%BF","35.691","139.701","","nana's green tea ルミネエスト新宿店の雰囲気がわかる写真。候補: 抹茶パフェ、店舗入口","画像準備中","https://www.nanasgreentea.com/blogs/tokyo/lumine-est-shinjuku","公式画像候補","許諾確認待ち","公式サイトまたは公式店舗ページの画像を候補元にし、掲載許諾が取れたらローカル保存して使用","抹茶パフェ、店舗入口"
"27","nanas-green-tea-kinshicho-termina","nana's green tea 錦糸町テルミナ店","錦糸町","錦糸町駅","抹茶パフェ、和スイーツ","抹茶,駅近,錦糸町,商業施設","錦糸町駅直結で使える抹茶カフェ","東東京側の駅近和カフェとして地図の偏りを補える。","第三者確認済み","要確認","施設に準ずる","https://www.nanasgreentea.com/","https://www.google.com/maps/search/?api=1&query=nana%27s%20green%20tea%20%E9%8C%A6%E7%B3%B8%E7%94%BA%E3%83%86%E3%83%AB%E3%83%9F%E3%83%8A%E5%BA%97%20%E9%8C%A6%E7%B3%B8%E7%94%BA","35.696","139.814","","nana's green tea 錦糸町テルミナ店の雰囲気がわかる写真。候補: 抹茶パフェ、テルミナ店舗入口","画像準備中","https://www.termina.info/","施設公式画像候補","許諾確認待ち","商業施設の店舗ページ画像を候補元にし、施設側の利用条件を確認してから使用","抹茶パフェ、テルミナ店舗入口"
"28","toraya-ginza","TORAYA GINZA","銀座","銀座駅、新橋駅","あんみつ、季節の和菓子","老舗,高級,銀座,あんみつ","銀座で上質な和菓子と甘味を楽しめる菓寮","とらや銀座ビル内の直営店・菓寮。","公式確認済み","11:00〜19:00、喫茶L.O.18:30","元日、毎月第2月曜日","https://www.toraya-group.co.jp/shops/shop-6","https://www.google.com/maps/search/?api=1&query=TORAYA%20GINZA%20%E9%8A%80%E5%BA%A7","35.671","139.764","","TORAYA GINZAの雰囲気がわかる写真。候補: 銀座店内、あんみつ、季節の和菓子","画像準備中","https://www.toraya-group.co.jp/shops/shop-6","公式画像候補","許諾確認待ち","公式サイトまたは公式店舗ページの画像を候補元にし、掲載許諾が取れたらローカル保存して使用","銀座店内、あんみつ、季節の和菓子"
"29","toraya-tokyo","TORAYA TOKYO","東京駅","東京駅","季節の和菓子、あんみつ","老舗,高級,東京駅,駅近","東京駅周辺で上質な和菓子休憩に使える","東京駅エリアの菓寮・喫茶併設店舗。","公式確認済み","平日10:00〜18:30 / 土日祝10:00〜17:30","年中無休","https://www.toraya-group.co.jp/toraya/shops/detail/?id=14","https://www.google.com/maps/search/?api=1&query=TORAYA%20TOKYO%20%E6%9D%B1%E4%BA%AC%E9%A7%85","35.682","139.766","","TORAYA TOKYOの雰囲気がわかる写真。候補: 東京駅の菓寮、季節の和菓子","画像準備中","https://www.toraya-group.co.jp/toraya/shops/detail/?id=14","公式画像候補","許諾確認待ち","公式サイトまたは公式店舗ページの画像を候補元にし、掲載許諾が取れたらローカル保存して使用","東京駅の菓寮、季節の和菓子"
"30","toraya-karyo-tokyo-midtown","虎屋菓寮 東京ミッドタウン店","六本木","六本木駅、乃木坂駅","あんみつ、お汁粉、季節の和菓子","老舗,高級,六本木,商業施設","六本木の商業施設内で落ち着いて使える菓寮","都心観光・美術館導線に合う。","公式確認済み","11:00〜20:00、L.O.19:00","元日、施設に準ずる","https://www.toraya-group.co.jp/shops/shop-13","https://www.google.com/maps/search/?api=1&query=%E8%99%8E%E5%B1%8B%E8%8F%93%E5%AF%AE%20%E6%9D%B1%E4%BA%AC%E3%83%9F%E3%83%83%E3%83%89%E3%82%BF%E3%82%A6%E3%83%B3%E5%BA%97%20%E5%85%AD%E6%9C%AC%E6%9C%A8","35.6657","139.7311","","虎屋菓寮 東京ミッドタウン店の雰囲気がわかる写真。候補: ミッドタウン店内、あんみつ","画像準備中","https://www.toraya-group.co.jp/shops/shop-13","公式画像候補","許諾確認待ち","公式サイトまたは公式店舗ページの画像を候補元にし、掲載許諾が取れたらローカル保存して使用","ミッドタウン店内、あんみつ"
